Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Mean,Median,StdDev
2019-09-13,0.969,0.7906,0.9091,-0.9186,0.9091,0.8807,0.9914,-0.4404,0.9914,0.9852,0.9852,-0.8402,0.969,-0.9186,0.7992,0.9847,0.7906,0.9041,0.7935,0.9775,0.9794,-0.4215,,,,,,,,,,,,,,,,,0.5486545454545454,0.9041,0.6819883658875588
2019-09-12,0.9963,-0.9608,-0.9608,-0.9608,0.9963,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.055685714285714276,0.09715714285714286,0.7809206335845211
2019-09-11,0.8442,0.8442,0.9666,0.9837,0.9917,0.9917,0.9901,0.9901,0.9705,0.9617,0.9756,0.9516,0.9457,0.9664,0.9756,-0.9706,0.9664,0.9042,0.9506,-0.3818,0.0784,,,,,,,,,,,,,,,,,,0.7569809523809523,0.9640500000000001,0.5007144559072285
2019-09-10,0.7311,0.9682,0.9838,-0.9365,-0.128,0.9838,0.5859,0.9492,0.9285,0.9492,0.9885,0.8807,0.9885,0.9882,0.9831,0.9882,0.974,0.974,-0.8294,0.9022,0.9022,-0.8591,-0.6124,0.9633,0.9633,0.9974,0.9042,,,,,,,,,,,,0.6337814814814814,0.9492,0.6325444618152228
2019-09-09,-0.2598,-0.0,-0.2598,0.9447,0.9447,0.9489,0.9489,-0.3182,-0.3182,-0.9965,-0.9965,0.9969,0.9969,-0.2023,0.0516,-0.0,-0.5994,,,,,,,,,,,,,,,,,,,,,,0.11069999999999998,0.0,0.6709457784369309
2019-09-08,0.9974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,0.9974,0.0
2019-09-07,0.9762,0.9194,0.9194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9383333333333334,0.9288666666666667,0.02357180990552531
2019-09-06,-0.1531,-0.1154,-0.1154,-0.3612,-0.1531,-0.2732,-0.0772,0.5522,0.9896,0.9968,0.9896,0.985,-0.9979,0.9294,0.9294,,,,,,,,,,,,,,,,,,,,,,,,0.2750333333333333,0.09891666666666665,0.618964312353564
2019-09-05,0.9366,0.9366,0.9322,0.888,0.9815,0.985,0.888,0.3774,0.9823,-0.8724,0.3774,-0.8724,0.9738,0.9738,0.9732,-0.9979,,,,,,,,,,,,,,,,,,,,,,,0.52894375,0.9322,0.7038801127182049
2019-09-04,-0.5859,-0.5859,0.9926,0.9633,0.9633,0.9805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45465,0.9633,0.7046002812828907
2019-09-03,0.9865,0.4576,0.9783,0.4576,0.9783,0.9926,0.9795,0.9795,-0.9531,-0.9153,-0.9612,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25419166666666665,0.4576,0.8324316883804812
2019-09-02,0.9559,0.9559,-0.8289,-0.8289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0635,0.0635,0.7981868252483248
2019-09-01,0.9985,-0.9907,-0.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07283333333333332,-0.14956666666666665,0.7103690502517376
2019-08-31,0.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937,0.937,1.3597399555105182e-16
2019-08-30,0.8349,0.8349,0.9893,0.8953,0.9948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90984,0.90257,0.06457658823148718
2019-08-29,0.8989,0.9949,0.9949,-0.6705,-0.855,0.9906,0.8625,-0.6705,0.991,0.991,-0.4497,0.8155,0.9382,0.7003,0.9831,-0.2263,0.6187,-0.25,,,,,,,,,,,,,,,,,,,,,0.42542222222222226,0.8155,0.6764820544626972
2019-08-28,0.9516,0.9598,0.8999,0.8999,0.9598,0.6187,-0.6124,0.9864,0.9864,-0.5118,0.7545,0.7545,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6372749999999999,0.8999,0.5307831651661192
2019-08-27,0.946,-0.9878,0.9984,-0.9011,-0.9011,0.8834,0.8834,0.93,-0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1071,0.49524999999999997,0.879667696374861
2019-08-26,-0.7834,0.0267,-0.9871,0.0267,0.6454,0.9571,0.9618,0.8402,-0.3071,-0.4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09036000000000004,0.0267,0.6603513860266159
2019-08-23,0.5486,-0.5193,-0.996,0.549,0.549,-0.9641,-0.9641,0.9361,-0.5193,0.7261,0.5486,-0.8883,-0.7906,0.775,-0.9429,-0.9429,0.9955,0.9955,,,,,,,,,,,,,,,,,,,,,-0.050227777777777774,-0.050227777777777774,0.7856632992544081
2019-08-22,-0.4664,-0.4664,0.9905,0.9905,0.9581,0.9952,0.9705,0.9705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6178125000000001,0.9705,0.6007189132050794
2019-08-21,0.9878,0.9878,-0.6908,0.9936,0.1779,-0.6908,0.9936,0.1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36712500000000003,0.36712500000000003,0.6553573728212044
2019-08-20,0.8878,0.8878,0.974,0.974,-0.5267,-0.2508,0.9776,0.0,0.0,-0.9326,0.9875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3616909090909091,0.6247454545454546,0.6607757639979974
2019-08-19,0.9829,0.9841,0.9841,0.9513,0.9838,0.9843,0.9861,0.9853,0.9806,-0.2508,0.8807,0.2863,0.9828,0.4588,,,,,,,,,,,,,,,,,,,,,,,,,0.7985928571428572,0.9828,0.35115639381884456
2019-08-18,0.9477,0.2863,-0.2263,0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252875,0.252875,0.3938390654823363
2019-08-16,-0.1511,-0.1511,0.9509,0.9325,0.993,0.993,0.9451,0.3262,0.9911,-0.8251,-0.8251,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3799454545454546,0.6562227272727272,0.6841978750728368
2019-08-15,0.743,0.743,-0.6059,-0.6059,0.9766,0.9766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37123333333333336,0.743,0.658989677024309
2019-08-14,0.989,-0.8922,-0.8922,0.9778,-0.9014,-0.7943,-0.8709,-0.2263,-0.9728,0.296,-0.9794,-0.9794,0.9829,0.9951,0.994,,,,,,,,,,,,,,,,,,,,,,,,-0.15160666666666664,-0.5103,0.8460366920250056
2019-08-13,0.9713,-0.7845,-0.7845,0.9337,-0.648,-0.648,-0.923,-0.923,0.9337,0.9864,0.9864,0.9468,0.989,-0.7404,-0.7404,0.9886,0.9774,0.2111,0.9792,0.5574,0.9153,-0.8658,0.3291,0.659,0.659,-0.982,-0.9877,-0.9691,,,,,,,,,,,0.10810714285714287,0.3291,0.8260510674157573
2019-08-12,-0.9247,0.9044,0.9044,0.9725,0.9952,0.9952,0.9725,0.991,0.991,-0.9734,-0.9631,-0.8939,0.2247,,,,,,,,,,,,,,,,,,,,,,,,,,0.32275384615384617,0.9044,0.8457301735654276
2019-08-11,0.6597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6597,0.6597,0.0
2019-08-10,0.6135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6135,0.6135,0.0
2019-08-09,0.9824,0.9824,-0.9755,0.9932,-0.9832,0.9932,-0.296,0.8074,0.9626,0.9626,-0.9554,-0.9288,-0.9288,-0.9247,,,,,,,,,,,,,,,,,,,,,,,,,0.04938571428571432,0.04938571428571432,0.8896874214068241
2019-08-08,0.9819,0.9819,0.9853,0.7783,0.9884,0.7783,0.9884,-0.3577,-0.3577,0.0516,0.0516,-0.2263,0.9983,0.9983,0.9983,-0.4359,-0.4359,0.9801,-0.5719,,,,,,,,,,,,,,,,,,,,0.43027894736842104,0.7783,0.617740282389995
2019-08-07,0.9801,0.9801,0.9942,0.9635,0.3744,0.9902,0.9902,-0.8957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.672125,0.9801,0.5974716595382487
2019-08-06,0.973,0.3064,0.3064,-0.5423,-0.5423,-0.7316,-0.7316,-0.9092,0.973,-0.9377,0.9912,-0.7548,0.4417,0.9303,0.9303,0.9912,-0.3612,0.1027,0.1531,-0.8694,-0.5423,0.9871,-0.8694,0.948,-0.9849,,,,,,,,,,,,,,0.010307999999999993,0.056504,0.7524126826204579
2019-08-05,-0.9435,-0.8271,-0.8271,-0.872,-0.9538,-0.9538,-0.9517,-0.9023,-0.7099,-0.9924,-0.9924,-0.9924,-0.9924,-0.9703,-0.9781,-0.9896,0.6824,0.6824,0.9775,-0.8062,0.9775,-0.9561,-0.7408,-0.9561,-0.2263,0.9938,0.9366,,,,,,,,,,,,-0.49200370370370367,-0.88715,0.7387083390873558
2019-08-04,0.296,0.296,0.4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35623333333333335,0.32611666666666667,0.0749898952452188
2019-08-03,0.9769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9769,0.9769,0.0
2019-08-02,-0.9807,0.8627,0.8627,-0.2023,0.7866,-0.7184,-0.7184,-0.9807,0.3804,0.3804,0.3804,-0.8641,-0.9296,0.5423,0.5423,-0.9711,-0.2023,0.5267,-0.3431,0.1742,-0.4019,-0.9061,-0.9061,-0.9717,,,,,,,,,,,,,,,-0.194075,-0.2023,0.6630331404591443
2019-08-01,-0.9761,0.9995,0.9773,0.9773,0.9106,0.9903,0.9571,0.9903,0.9501,0.9382,0.8184,-0.0258,0.8184,-0.0258,-0.0258,,,,,,,,,,,,,,,,,,,,,,,,0.6182666666666667,0.9244,0.5616652712061562
2019-07-31,0.0,-0.4124,-0.4124,0.9771,0.9771,-0.2263,-0.743,0.9971,0.3673,0.9824,0.8088,0.8088,0.8088,0.1045,0.9657,0.9931,0.9931,0.1531,0.1531,0.9682,0.4741,0.95,0.95,0.8442,0.94,0.8442,0.9928,0.9628,0.97,-0.3612,0.9971,0.998,0.9595,-0.9942,0.97,,,,0.5646114285714284,0.8920999999999999,0.5754124753550081
